Protein group ID	ID'ed in Moloney et al.	tagm.map.localisation.prediction	Protein IDs (Tb427)	Majority protein IDs (Tb427)	Protein IDs (Both 427 and 927)	Majority protein IDs (Both 427 and 927)	Protein description	Guther et al. Name	Guther et al. Description	Mito. OM acc. to Niemann et al. (2013)	Mito. IM acc. to Niemann et al. (2013)	Glycosomal acc. to Güther et al. (2014)	Comments	Is a dual localized protein	TMD/hydrophobic protein	TM Presence	Guther et al High + TM	Peroxins and known PMPs	Marker - NEW	Marker protein name	Mol. weight [kDa]	Q-value	Score	Mean correlation	p-value	Class 1/2 PMP final assessment	Class 1/2 protein (preliminary)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Correlation Glyco-mem Rep1	Correlation Glyco-mem Rep2	Correlation Glyco-mem Rep3	Correlation Glyco-mem imputed Rep1	Correlation Glyco-mem imputed Rep2	Correlation Glyco-mem imputed Rep3	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
881	1	glycosomes	Tb427_040018300	Tb427_040018300	Tb427_040018300;Tb927.4.1600	Tb427_040018300;Tb927.4.1600	"Zeta toxin/AAA domain/Chromatin associated protein KTI12, putative "	1 TM	"hypothetical protein, conserved"			High-confidence			TriTrypDB	Yes	1				27.2	0	323	0.9926916	1.64E-04	1	1	0.019	0.015	0.137	0.002	1	0.999277228	0.993961652	0.98483597	0.999277228	0.993961652	0.98483597	0.011	0.009	0.005	0	1	0.041	0.006	0.002	0.002	1	0.007	0.031	0.403	0.004	1	0.009	1	0.419	0.007	0.011	0.002	0.039	0.122	0.007	0.003	0.001	0.002
2379	1	glycosomes	Tb427_090008200	Tb427_090008200	Tb427_090008200;Tb927.9.1720	Tb427_090008200;Tb927.9.1720	"Tim17/Tim22/Tim23/Pmp24 family, putative "								TriTrypDB	Yes	1				25.4	0	77	0.9925662	1.11E-04	1	1	0.047	0.024	0.128	0.004	1	0.998839687	0.999011108	0.979847727	0.998839687	0.999011108	0.979847727	0.012	0.028	0.001	0.001	1	0.11	0.024	0.002	0.002	1	0.018	0.02	0.38	0.008	1	0.006	1	0.029	0.008	0.004	0.007	0.096	0.221	0.03	0.003	0.012	0.011
4411			Tb427_110154800	Tb427_110154800	Tb427_110154800;Tb927.11.13710	Tb427_110154800;Tb927.11.13710	"hypothetical protein, conserved "		"hypothetical protein, conserved"				Mitochondrial or ER								20.9	0	171	0.9916365	1.63E-03		1	0.122	0.108	0.181	0.12	1	0.991637864	0.991635081		0.991637864	0.991635081	0.445453949	0.19	0.2	0.327	0.202	1	0.054	0.016	0.035	0.038	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.001	0.003	0.011	0.001	0.005	0	0.044	1	0.04	0.001	0	0.001
2956	1	glycosomes	Tb427_100035900	Tb427_100035900	Tb427_100035900;Tb927.10.3080	Tb427_100035900;Tb927.10.3080	"Met-10+ like-protein, putative "						could be carbonate resistant	Possible		No					44.5	0	323	0.9901853	3.25E-04		1	0.004	0.011	0.267	0.002	1	0.999344786	0.989768219	0.981442921	0.999344786	0.989768219	0.981442921	0.002	0.004	0.003	0	1	0.007	0.017	0.001	0	1	0.004	0.01	0.797	0.005	1	0	1	0.118	0	0.001	0	0.068	0.371	0.052	0	0	0
370			Tb427_010022900	Tb427_010022900	Tb427_010022900;Tb427_100008800;Tb927.1.3180;Tb927.10.560	Tb427_010022900;Tb427_100008800;Tb927.1.3180;Tb927.10.560	"Ribosomal_S17 N-terminal/Ribosomal protein S17, putative "		"40S ribosomal protein S11, putative"				"intracellular, ribosome"								20.1	0.00025452	4	0.9899682	1.99E-03		1	0.329	0.213	0.257	0.232	1	0.996705891	0.983230453		0.996705891	0.983230453	0.465416782	0.064	0.001	0	0.002	1	0.594	0.425	0.513	0.462	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.059	0.135	0.053	0.056	0.132	0.054	0.282	1	0.242	0.096	0.057	0.062
1007			Tb427_040044800	Tb427_040044800	Tb427_040044800;Tb927.4.4210	Tb427_040044800;Tb927.4.4210	"ATPase family associated with various cellular activities (AAA)/AAA+ lid domain/Peptidase family M41, putative "		"ATP-dependent zinc metallopeptidase, putative,metallo-peptidase, Clan MA(E) Family M41"		Yes		mitochondrial inner membrane								96.3	0	323	0.9892664	1.38E-03		1	0.166	0.023	0.015	0.017	1	0.979416361	0.999116458		0.979416361	0.999116458	0.459781426	0.205	0.013	0.023	0.017	1	0.127	0.032	0.008	0.018	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0	0.002	0.02	0	0.01	0	0.066	1	0.035	0	0	0
608			Tb427_030019100	Tb427_030019100	Tb427_030019100;Tb927.3.1940	Tb427_030019100;Tb927.3.1940	"TPM domain containing protein, putative "		"hypothetical protein, conserved"		Yes		mitochondrial part								49.4	0	97	0.9888785	2.57E-03		1	0.27	0.297	0.336	0.269	1	0.994374844	0.983382161		0.994374844	0.983382161	0.461670952	0.493	0.556	0.554	0.508	1	0.046	0.037	0.119	0.029	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.002	0.004	0.016	0.005	0.011	0.002	0.089	1	0.047	0.004	0.003	0.004
3645			Tb427_100168100	Tb427_100168100	Tb11.v5.0427.1-p1;Tb427_100168100;Tb927.10.15850	Tb11.v5.0427.1-p1;Tb427_100168100;Tb927.10.15850	"Pex2 / Pex12 amino terminal region containing protein, putative "	PEX12	"peroxisome assembly protein, putative"			High-confidence		Possible	Phobius	 Yes but not predicted		1	Glycosomal membrane	PEX12	43.2	0	323	0.988564	8.84E-05	1	1	0.033	0.019	0.295	0.001	1	0.999422195	0.997139029	0.969130853	0.999422195	0.997139029	0.969130853	0.008	0.014	0.009	0.001	1	0.079	0.029	0.004	0.001	1	0.011	0.014	0.872	0.002	1	0.001	1	0.265	0.001	0.01	0.003	0.096	0.384	0.275	0	0.001	0
999	1	glycosomes	Tb427_040043200	Tb427_040043200	Tb427_040043200;Tb927.4.4050	Tb427_040043200;Tb927.4.4050	"ABC transporter transmembrane region 2/ABC transporter, putative "	GAT1	"ABC transporter, putative,70 kDa peroxisomal membrane protein"			High-confidence			TriTrypDB	Yes	1	1	Glycosomal membrane	GAT1	76	0	251	0.9866182	4.47E-04	1	1	0.007	0.024	0.29	0.001	1	0.999288956	0.989621572	0.970944102	0.999288956	0.989621572	0.970944102	0.001	0.002	0.001	0	1	0.003	0.007	0.001	0	1	0.015	0.063	0.867	0.002	1	0.003	1	0.313	0.002	0.009	0.001	0.071	0.217	0.074	0	0	0.001
630	1	glycosomes	Tb427_030023100	Tb427_030023100	Tb11.v5.0818.1-p1;Tb427_030023100;Tb927.3.2340	Tb11.v5.0818.1-p1;Tb427_030023100;Tb927.3.2340	"Pex2 / Pex12 amino terminal region containing protein, putative "	PEX2							Phobius	 Yes but not predicted		1	Glycosomal membrane	PEX2	42.2	0	323	0.9849081	2.70E-04	1	1	0.012	0.011	0.103	0.003	1	0.999351822	0.993139603	0.962232806	0.999351822	0.993139603	0.962232806	0.001	0.011	0.004	0	1	0.034	0.014	0.003	0.002	1	0.002	0.009	0.302	0.007	1	0.005	1	0.051	0.009	0.01	0.006	0.05	0.175	0.015	0.01	0.011	0.016
3936			Tb427_110055300	Tb427_110055300	Tb427_110055300;Tb927.11.5020	Tb427_110055300;Tb927.11.5020	"hypothetical protein, conserved "		"hypothetical protein, conserved"						Phobius	Yes but not predicted					186.6	0	27	0.9846413	4.36E-03		1	0.307	0.185	0.303	0.158	1	0.983311998	0.985970642		0.983311998	0.985970642	0.447499269	0.291	0.177	0.281	0.117	1	0.323	0.194	0.325	0.2	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.87	0.9	0.891	0.903	0.882	0.896	0.89	1	0.918	0.879	0.883	0.904
2517	1	glycosomes	Tb427_090036100	Tb427_090036100	Tb427_090036100;Tb927.9.6450	Tb427_090036100;Tb927.9.6450	"Peroxisomal membrane protein (Pex16), putative "	PEX16							Phobius	 Yes but not predicted		1	Glycosomal membrane	PEX16	50.4	0	323	0.9839327	3.21E-04	1	1	0.015	0.028	0.311	0.002	1	0.999295594	0.992948928	0.959553437	0.999295594	0.992948928	0.959553437	0.007	0.01	0.004	0	1	0.032	0.018	0.002	0	1	0.005	0.056	0.926	0.006	1	0.001	1	0.325	0	0.005	0	0.131	0.303	0.057	0	0	0
3708	1	glycosomes	Tb427_110015400	Tb427_110015400	Tb427_110015400;Tb927.11.1070	Tb427_110015400;Tb927.11.1070	"ABC transporter transmembrane region 2/ABC transporter, putative "	GAT3							TriTrypDB	Yes	1	1	Glycosomal membrane	GAT3	75.6	0	323	0.983511	4.76E-04	1	1	0.012	0.027	0.312	0.006	1	0.99922709	0.991156893	0.960149088	0.99922709	0.991156893	0.960149088	0.005	0.019	0.004	0	1	0.021	0.018	0.008	0.004	1	0.012	0.044	0.923	0.014	1	0.002	1	0.207	0.001	0.007	0.001	0.028	0.076	0.008	0.003	0.001	0.001
2883	1	glycosomes	Tb427_100021800	Tb427_100021800	Tb427_100021800;Tb927.10.1860	Tb427_100021800;Tb927.10.1860	"hypothetical protein, conserved "		"hypothetical protein, conserved"			High-confidence			Phobius	 Yes but not predicted					39.2	0	323	0.9811065	1.54E-04	1	1	0.034	0.028	0.339	0.003	1	0.999462386	0.996874899	0.9469821	0.999462386	0.996874899	0.9469821	0.009	0.005	0.01	0	1	0.083	0.004	0.022	0.002	1	0.01	0.077	0.986	0.006	1	0.001	1	0.479	0.001	0.003	0.004	0.025	0.11	0.016	0.002	0.003	0
2164	1	glycosomes	Tb427_080048600	Tb427_080048600	Tb427_080048600;Tb927.8.4370	Tb427_080048600;Tb927.8.4370	"hypothetical protein, conserved "		"hypothetical protein, conserved"			High-confidence			TriTrypDB	Yes	1				100.4	0	323	0.9791453	2.43E-04	1	1	0.027	0.027	0.096	0.001	1	0.999509825	0.995095805	0.942830251	0.999509825	0.995095805	0.942830251	0.023	0.048	0.038	0	1	0.054	0.006	0.008	0.001	1	0.004	0.025	0.241	0.001	1	0.005	1	0.532	0.002	0.003	0.002	0.045	0.056	0.001	0	0.001	0.001
2920			Tb427_100029100	Tb427_100029100	Tb427_100029100;Tb927.10.2480	Tb427_100029100;Tb927.10.2480	"hypothetical protein, conserved "								Phobius	 Yes but not predicted					105.2	0	9	0.9787831	2.74E-03		1	0.146	0.06	0.13	0.001	1	0.955731535	0.999660197	0.980957667	0.955731535	0.999660197	0.980957667	0.289	0.123	0.001	0.001	1	0.146	0.01	0.006	0.001	1	0.002	0.046	0.384	0.001	1	0	0.252	1	0.001	0.004	0	0.001	0.018	0.05	0	0	0
4223			Tb427_110111200	Tb427_110111200	Tb427_110111200;Tb927.11.10260	Tb427_110111200;Tb927.11.10260	"hypothetical protein, conserved "	PEX3	"hypothetical protein, conserved"					Possible		"No, but it is PEX3"		1	Glycosomal membrane	PEX3	51.9	0	323	0.9786067	2.92E-03	1	1	0.08	0.074	0.371	0.005	1	0.939920437	0.997510874	0.998388756	0.939920437	0.997510874	0.998388756	0.039	0.109	0.4	0	1	0.2	0.03	0.083	0.015	1	0.001	0.084	0.629	0	1	0.005	1	0.207	0.002	0.005	0.004	0.071	0.445	0.045	0.002	0.006	0.004
2306			Tb427_080075900;Tb427_040056900	Tb427_080075900;Tb427_040056900	Tb04.24M18.150;Tb427_040056900;Tb427_080075900;Tb927.8.6960	Tb427_040056900;Tb427_080075900;Tb927.8.6960	"hypothetical protein, conserved ;hypothetical protein, conserved "		"hypothetical protein, conserved"				Mitochondrial or ER								42.5	0	76	0.978369	1.00E-03		1	0.022	0.045	0.344	0.033	1	0.999195503	0.987073726	0.948837687	0.999195503	0.987073726	0.948837687	0.009	0.002	0.002	0.001	1	0.018	0.013	0.052	0.018	1	0.039	0.121	0.977	0.08	1	0	0.001	0.009	0.001	0.001	0.002	0.398	1	0.052	0	0.001	0.001
1101	1	glycosomes	Tb427_050014000;Tb427_110072300	Tb427_050014000	Tb11.v5.0613.1-p1;Tb427_050014000;Tb427_050014100;Tb427_100041100;Tb427_110072300;Tb927.10.3650;Tb927.11.6730.1-p1;Tb927.5.930	Tb11.v5.0613.1-p1;Tb427_050014000;Tb427_050014100;Tb427_100041100;Tb927.10.3650;Tb927.5.930	"ApbE family/Alanine dehydrogenase/PNT, C-terminal domain/Pyridine nucleotide-disulphide oxidoreductase/Glucose inhibited division protein A/FAD dependent oxidoreductase/FAD binding domain/NAD(P)-binding Rossmann-like domain/Oxidoreductase FAD-binding domai"	FR	NADH-dependent fumarate reductase			High-confidence	PTS1			No					123.6	0	323	0.9782737	4.56E-03		1	0.173	0.043	0.25	0	1	0.992693361	0.945060443	0.997067246	0.992693361	0.945060443	0.997067246	0.04	0.018	0.17	0.001	1	0.478	0.017	0.052	0	1	0.001	0.093	0.528	0	1	0.009	1	0.551	0	0.011	0	0.059	0.145	0.023	0	0	0
2681	1	glycosomes;glycosomes	Tb427_090066200	Tb427_090066200	Tb427_090066100;Tb427_090066200;Tb927.9.11580;Tb927.9.11600	Tb427_090066100;Tb427_090066200;Tb927.9.11580;Tb927.9.11600	"Peroxisomal biogenesis factor 11 (PEX11), putative "	Gim5B	"Gim5B protein,glycosomal membrane protein"						TriTrypDB	Yes	1	1	Glycosomal membrane	GIM5B	26	0	323	0.9769706	5.12E-05	1	1	0.064	0.049	0.098	0	1	0.999939075	0.999720482	0.931252172	0.999939075	0.999720482	0.931252172	0.019	0.03	0.059	0	1	0.171	0.065	0.018	0	1	0.001	0.052	0.216	0	1	0	1	0.119	0	0.002	0	0.088	0.159	0.02	0	0	0
965	1	glycosomes	Tb427_040034100	Tb427_040034100	Tb427_040034100;Tb927.4.3160	Tb427_040034100;Tb927.4.3160	"Acyltransferase, putative "								Phobius	 Yes but not predicted					137.1	0	323	0.976015	1.13E-04	1	1	0.032	0.015	0.076	0.001	1	0.999700122	0.998077578	0.930267345	0.999700122	0.998077578	0.930267345	0.002	0.004	0.017	0	1	0.093	0.003	0.002	0.002	1	0.002	0.037	0.209	0.001	1	0	1	0.251	0	0.001	0	0.03	0.162	0.005	0	0	0
3539	1	glycosomes	Tb427_100148400	Tb427_100148400	Tb427_100148400;Tb927.10.14020	Tb427_100148400;Tb927.10.14020	"hypothetical protein, conserved "		"hypothetical protein, conserved"			High-confidence		TRUE (Possible TMEM135)	TriTrypDB	Yes	1				48.1	0	58	0.9754352	5.15E-03	1	1	0.035	0.015	0.454	0.026	1		0.989323942	0.961546449	0.868053876	0.989323942	0.961546449	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0	0	0	0	1	0.071	0.03	0.909	0.051	1	0.012	1	0.908	0.005	0.029	0.009	0.05	0.787	0.019	0.004	0.006	0.004
634	1	glycosomes	Tb427_030023800	Tb427_030023800	Tb427_030023800;Tb927.3.2410	Tb427_030023800;Tb927.3.2410	"Pex2 / Pex12 amino terminal region/Zinc finger, C3HC4 type (RING finger)/Ring finger domain/zinc-RING finger domain/Prokaryotic RING finger family 4, putative "	PEX10	"peroxisome assembly protein, putative"			High-confidence			Phobius	 Yes but not predicted		1	Glycosomal membrane	PEX10	33	0	275	0.9742468	8.32E-04	1	1	0.004	0.009	0.072	0.002	1	0.999237151	0.989242946	0.934260228	0.999237151	0.989242946	0.934260228	0.001	0.005	0	0	1	0.003	0.016	0.001	0	1	0.008	0.007	0.216	0.006	1	0.001	1	0.221	0.002	0.005	0.001	0.052	0.01	0.004	0.001	0.002	0.001
666			Tb427_030032400	Tb427_030032400	Tb11.v5.0584.1-p1;Tb427_030032400;Tb927.3.3180	Tb427_030032400	"hypothetical protein, conserved "						Nucleoporin protein TbNup98 published			No					91.2	0	205	0.9726035	6.17E-03		1	0.246	0.274	0.307	0.257	1	0.990828119	0.954378854		0.990828119	0.954378854	0.462224342	0.194	0.287	0.175	0.196	1	0.299	0.261	0.44	0.317	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.087	0.18	0.089	0.088	0.068	0.079	1	0.069	0.123	0.071	0.09	0.141
4000	1	glycosomes	Tb427_110067700	Tb427_110067700	Tb427_110067700;Tb927.11.6280	Tb427_110067700;Tb927.11.6280	"Pyruvate phosphate dikinase, PEP/pyruvate binding domain/PEP-utilising enzyme, mobile domain/PEP-utilising enzyme, TIM barrel domain containing protein, putative "						"PTS1, Carbonate resistant"			No			Glycosomal matrix	pyruvate phosphate dikinase 	100.4	0	323	0.9719327	1.68E-03		1	0.177	0.02	0.139	0	1	0.999590671	0.93758188	0.978625635	0.999590671	0.93758188	0.978625635	0.033	0.013	0.033	0	1	0.497	0.016	0.016	0	1	0.001	0.029	0.369	0	1	0.005	1	0.333	0	0.008	0	0.036	0.18	0.027	0	0	0
3871	1	glycosomes	Tb427_110044000	Tb427_110044000	Tb427_110044000;Tb927.11.3850	Tb427_110044000;Tb927.11.3850	"Adenosine/AMP deaminase, putative "	AMPD	"AMP deaminase, putative"				"PTS1, Carbonate resistant"			No					175.6	0	323	0.9661657	2.30E-03		1	0.046	0.07	0.157	0	1	0.989658142	0.997617811	0.911221234	0.989658142	0.997617811	0.911221234	0.006	0.01	0.183	0	1	0.131	0.006	0.057	0.001	1	0.001	0.195	0.231	0	1	0.001	1	0.24	0	0.002	0	0.045	0.044	0.005	0	0	0
2327			Tb427_080080600	Tb427_080080600	Tb427_080080600;Tb927.8.7480	Tb427_080080600;Tb927.8.7480	"hypothetical protein, conserved "		"hypothetical protein, conserved"				to be rechecked as its negative in Guther et al			No					70.7	0	106	0.9659806	2.49E-03		1	0.375	0.287	0.329	0.299	1	0.983265575	0.999116045	0.91556022	0.983265575	0.999116045	0.91556022	0.339	0.198	0.217	0.261	1	0.317	0.26	0.236	0.208	1	0.469	0.403	0.535	0.429	1	0.058	1	0.225	0.083	0.059	0.053	0.09	0.895	0.083	0.063	0.066	0.069
1429			Tb427_060035900	Tb427_060035900	Tb427_060035900;Tb927.6.3080	Tb427_060035900;Tb927.6.3080	"hypothetical protein, conserved "	1 TM	hypothetical protein			High-confidence			TriTrypDB	Yes	1				20.7	0	89	0.9639627	7.82E-04	1	1	0.042	0.039	0.079	0.036	1	0.999592579	0.991040446	0.901255208	0.999592579	0.991040446	0.901255208	0.004	0.002	0.013	0	1	0.016	0.011	0.004	0.001	1	0.104	0.103	0.22	0.106	1	0.002	1	0.038	0.007	0.005	0.005	0.024	0.109	0.02	0.004	0.005	0.005
4173			Tb427_110103500	Tb427_110103500	Tb427_110103500;Tb927.11.9550	Tb427_110103500;Tb927.11.9550	"DNA polymerase III, delta subunit/AAA domain/ATPase family associated with various cellular activities (AAA)/Replication factor C C-terminal domain containing protein, putative "		"replication factor C, subunit 4, putative"							No					37.6	0	18	0.9625489	5.50E-03		1	0.291	0.247	0.328	0.284	1	0.996291169		0.928806627	0.996291169	0.5805188	0.928806627	0.113	0.033	0.054	0.037	1	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.47	0.461	0.601	0.531	1	0.055	1	0.474	0.059	0.044	0.084	0.657	0.061	0.069	0.073	0.036	0.088
3255			Tb427_100090900	Tb427_100090900	Tb427_100090900;Tb927.10.8410	Tb427_100090900;Tb927.10.8410	"hypothetical protein, conserved "		"hypothetical protein, conserved"			High-confidence			Phobius	 Yes but not predicted					27.8	0	113	0.9602802	6.44E-04	1	1	0.022	0.024	0.339	0.001	0.933	0.999445667	0.995131574	0.886263255	0.999445667	0.995131574	0.886263255	0.002	0.009	0.007	0	1	0.064	0.046	0.01	0.003	1	0	0.016	1	0	0.798017238	0.001	1	0.08	0.001	0.001	0.003	0.103	0.216	0.06	0.003	0.002	0.011
